Name,Address,City,PostalCode,Country
Spielcafe Deichhaus Game Café,Blankwasserweg 118,Grömitz,23743,Germany
Wurfel & Zucker,Eilbeker Weg 39,Hamburg,22089,Germany
Rollen - und Brettspielverein Thoule,Ostendstraße 1,Karlsruhe,76131,Germany
ZAMgwurfelt - the board game cafe,Helene-Mayer-Ring 14,Munich,80809,Germany
Spielcafé Osnabrett,Dielingerstraße 40,Osnabrück,49074,Germany
Spielecafé der Generationen,Kolpingstr. 14,Pfarrkirchen,84347,Germany
Playhouse,Valtetsiou 49,Athens,106 81,Greece
Κάισσα Cafe,"Μεσογείων 12, Αμπελόκηποι",Athens,11527,Greece
Playce,Vasili Logothetidi 14,Athina,115 24,Greece
Playhouse,Sakellariou 21,Ioannina,453 33,Greece
Playhouse,Poulidou 6,Kavala,652 01,Greece
Playhouse,Panagouli 16,Larisa,412 22,Greece
This HOUSE RULES,Dim. Ralli 4,Marousi,151 24,Greece
Playhouse,Riga Fereou 127,Patra,262 21,Greece
Back 2 Games,Geor. Papandreou 27,Thessaloniki,54645,Greece
Harry's Spot Cafe,Aggelaki 8,Thessaloniki,54621,Greece
Playhouse,Vasilissis Sofias 5,Xanthi,671 00,Greece
TableTop Café,"6ta avenida, 3-24, zona 1",Guatemala City,01001,Guatemala
