Name,Address,City,PostalCode,Country,Latitude,Longitude
Unboxed,33-35 South Harbour Street,Ayrshire,KA7 1JA,Scotland,55.4654873,-4.635343
Games Hub Edinburgh ,101 Lauriston Place ,Edinburgh,EH3 9JB,Scotland,55.9442988,-3.2016992
Geek Retreat Edinburgh,30 Nicolson Square,Edinburgh,EH8 9BX,Scotland,55.9457096,-3.1855488
Noughts and Coffees Board Game Café,26 Morrison Street,Edinburgh,EH3 8BH,Scotland,55.9458027,-3.2056961
Dice Roll Café,350 Sauchiehall Street,Glasgow,G2 3HW,Scotland,55.8659477,-4.264738
Geek Retreat Glasgow,63 Union Street,Glasgow,G1 3RB,Scotland,55.8597734,-4.2569157
Lucky Sparrow Games Cafe,1091 Pollokshaws Road,Glasgow,G41 3YG,Scotland,55.827326,-4.29638
Max XP Gaming,29-31 Duke Street,Glasgow,G4 0UL,Scotland,55.8599329,-4.2368279
The Flying Duck,142 Renfield Street,Glasgow,G2 3AU,Scotland,55.8655192,-4.2550491
West End Games,18 Woodlands Road,Glasgow,G3 6UR,Scotland,55.867564,-4.2713054
Settlers,40 Castle Street,Hamilton,ML3 6BU,Scotland,55.7766931,-4.0334554
Geek Retreat Motherwell,54 Brandon Parade East,Motherwell,ML1 1LY,Scotland,55.7896393,-3.9911802
Comicrazy,45 Old Sneddon Street,Paisley,PA3 2AN,Scotland,55.8476428,-4.4226306
Big Dog Books,66 Scott Street,Perth,PH2 8JW,Scotland,56.3948086,-3.4320842
Common Ground,40B Cowane St,Stirling,FK8 1JR,Scotland,56.1243046,-3.939963
Astal,27 Kralja Milana,Belgrade,11000,Serbia,44.8065404,20.4646494
Gaming Centar,Trg Marije Trandafil 14,Novi Sad,21000,Serbia,45.259900200000004,19.843963783717236
Dobra Poteza,Zelezna 14,Ljubljana,1000,Slovenia,46.062419,14.5137722
Kaburi Cafe,"Passeig de Sant Joan, 11",Barcelona,08010,Spain,41.3925005,2.1782548
Continental Cafe Pub,"C/ Seminario, 11",Granada,18011,Spain,37.1741717,-3.6050311
La Pifia,Carrer de l'Alandir 1,Lleida,25005,Spain,41.6255495,0.628499
Epic Board Game Cafe,Calle Los Vascos 3,Madrid,28040,Spain,40.5745764,-3.9243549510703373
Comejuega,Av. Manuel Torres 5,Málaga,29003,Spain,36.7000016,-4.4478616
Play Planet Coffe & Shop,Calle San Lorenzo Street 18,Málaga,29001,Spain,36.7143201,-4.4239585
GTS Mallorca,"Carrer de Rosselló i Cazador, 7",Palma De Mallorca,07004,Spain,39.58133145,2.654585148433145
Bruixes i Fades,"Carrer de Rubén Darío, 18",Valencia,46021,Spain,39.4777173,-0.3525705
Café Sirius,Kungsgatan 19,Göteborg,411 19,Sweden,57.7030712,11.9590075
Dice Cafe STHLM,Polhemsgatan 21,Stockholm,112 30,Sweden,59.3304932,18.0363778
ManaBar,Schützenmattstrasse 31,Basel,4053,Switzerland,47.5558791,7.5810578
Well Played,Bahnhofstrasse 57,Dübendorf,8600,Switzerland,47.399866599999996,8.621974746131428
DuBischDra,Geerenweg 23B,Zürich-Altstetten,8048,Switzerland,47.392466,8.491876
Da Vinci Board Game Cafe,Kazakistan Cd. 69-71 D:A,Ankara,06490,Turkey,39.924245,32.8227127
Goblin Oyun Cafe,Nail Bey Sk. No:48/2,Kadikoy/Istanbul,34714,Turkey,40.9885161,29.0275678
Chance & Counters,23 High Street,Cardiff,CF10 1PT,Wales,51.4940713,-3.2189132
"Board, Isle of Wight",St James Street,Newport,PO30 1LQ,Wales,51.812551,-2.7113455
